TDP,Strategy,Iteration,SuccessRate,AppSetSchedulability,TotalExecutionTime,AverageExecutionTime,CriticalPathLength,Hyperperiod,TotalTasks,ScheduledTasks,Makespan,AlgorithmRuntimeMs
10.00,2,13,1.000000,1.0,124.0,1.6,7.4,40.0,80,0,0,127
10.00,3,14,1.000000,1.0,124.0,1.6,7.4,40.0,80,0,0,129
10.00,4,15,1.000000,1.0,124.0,1.6,7.4,40.0,80,0,0,137
10.00,0,16,1.000000,1.0,110.0,1.4,6.8,40.0,80,0,0,132
10.00,1,17,1.000000,1.0,110.0,1.4,6.8,40.0,80,0,0,128
10.00,2,18,1.000000,1.0,110.0,1.4,6.8,40.0,80,0,0,135
10.00,3,19,1.000000,1.0,110.0,1.4,6.8,40.0,80,0,0,130
10.00,4,20,1.000000,1.0,110.0,1.4,6.8,40.0,80,0,0,135
10.00,0,21,1.000000,1.0,100.0,1.2,6.0,40.0,80,0,0,128
10.00,1,22,1.000000,1.0,100.0,1.2,6.0,40.0,80,0,0,125
10.00,2,23,1.000000,1.0,100.0,1.2,6.0,40.0,80,0,0,133
10.00,3,24,1.000000,1.0,100.0,1.2,6.0,40.0,80,0,0,132
10.00,4,25,1.000000,1.0,100.0,1.2,6.0,40.0,80,0,0,129
10.00,0,26,1.000000,1.0,93.0,1.2,5.4,40.0,80,0,0,135
10.00,1,27,1.000000,1.0,93.0,1.2,5.4,40.0,80,0,0,136
10.00,2,28,1.000000,1.0,93.0,1.2,5.4,40.0,80,0,0,135
10.00,3,29,1.000000,1.0,93.0,1.2,5.4,40.0,80,0,0,125
10.00,4,30,1.000000,1.0,93.0,1.2,5.4,40.0,80,0,0,119
10.00,0,31,1.000000,1.0,104.0,1.3,5.6,40.0,80,0,0,120
10.00,1,32,1.000000,1.0,104.0,1.3,5.6,40.0,80,0,0,118
10.00,2,33,1.000000,1.0,104.0,1.3,5.6,40.0,80,0,0,126
10.00,3,34,1.000000,1.0,104.0,1.3,5.6,40.0,80,0,0,127
10.00,4,35,1.000000,1.0,104.0,1.3,5.6,40.0,80,0,0,136
10.00,0,36,1.000000,1.0,101.0,1.3,5.2,40.0,80,0,0,133
10.00,1,37,1.000000,1.0,101.0,1.3,5.2,40.0,80,0,0,121
10.00,2,38,1.000000,1.0,101.0,1.3,5.2,40.0,80,0,0,136
10.00,3,39,1.000000,1.0,101.0,1.3,5.2,40.0,80,0,0,141
10.00,4,40,1.000000,1.0,101.0,1.3,5.2,40.0,80,0,0,132
10.00,0,41,1.000000,1.0,95.0,1.2,5.4,40.0,80,0,0,136
